timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate_downlink,tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
26.75,10,1010123456002,74,1,2,8,1,0,15.0,8,0,0.01104,4,0,13.5,0.0,0,0,0.0,0,0.0,0,0.0,0,6,10,0,0,0,0.0
27.0,10,1010123456002,74,1,2,8,1,0,15.0,8,0,0.010464,3,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,10,10,0,0,0,0.0
27.25,10,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,0.1,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
27.5,10,1010123456002,74,1,2,8,1,0,0.0,4,0,0.010304,2,0,14.0,0.0,4,0,0.1,2,0.0,0,0.0,31,15,8,0,0,0,0.0
27.75,10,1010123456002,74,1,2,8,1,0,0.1,21,0,0.006176,8,0,10.8,0.0,0,0,0.0,0,0.0,0,0.0,0,13,64,0,0,0,0.0
28.0,10,1010123456002,74,1,2,8,1,0,0.0,2,0,0.005152,1,0,13.5,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
28.25,10,1010123456002,74,1,2,8,1,0,6.90909,22,0,0.021376,10,0,11.8333,14.1053,19,0,0.1,8,50.0,0,16.1161,31,54,60,0,0,0,4.94737
28.5,10,1010123456002,74,1,2,8,1,0,1.57143,49,0,0.02288,20,0,8.8,0.0,0,0,0.0,0,0.0,0,0.0,0,24,150,0,0,0,0.0
28.75,10,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,10.8,0.0,0,0,0.0,0,0.0,0,0.0,0,9,8,0,0,0,0.0
29.0,10,1010123456002,74,1,2,8,1,0,18.0,6,0,0.010304,2,0,11.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
29.25,10,1010123456002,74,1,2,8,1,0,18.4615,13,0,0.03616,6,0,13.2,6.4,35,0,0.1,13,30.7692,0,6.22445,31,39,26,0,0,0,4.14286
29.5,10,1010123456002,74,1,2,8,1,0,0.0,4,0,0.010304,2,0,13.6,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
29.75,10,1010123456002,74,1,2,8,1,0,18.0,7,0,0.015456,3,0,13.6,0.0,0,0,0.0,0,0.0,0,0.0,0,21,12,0,0,0,0.0
30.0,10,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,10.6,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
30.25,10,1010123456002,74,1,2,8,1,0,18.0,10,0,0.020608,4,0,13.6667,5.33333,27,0,0.1,10,40.0,0,5.28093,31,18,16,0,0,0,5.0
30.5,10,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,10.8,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
30.75,10,1010123456002,74,1,2,8,1,0,12.2857,14,0,0.015712,5,0,12.25,0.0,0,0,0.0,0,0.0,0,0.0,0,49,26,0,0,0,0.0
31.0,10,1010123456002,74,1,2,8,1,0,0.0,6,0,0.020992,4,0,11.6667,1.59091,22,0,0.1,9,0.0,0,11.8534,31,28,16,0,0,0,1.45455
31.25,10,1010123456002,74,1,2,8,1,0,18.0,7,0,0.015456,3,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,15,12,0,0,0,0.0
31.5,10,1010123456002,74,1,2,8,1,0,18.0,6,0,0.010304,2,0,10.8,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
31.75,10,1010123456002,74,1,2,8,1,0,9.82143,28,0,0.031808,11,0,11.3333,0.0,0,0,0.0,0,0.0,0,0.0,0,92,46,0,0,0,0.0
32.0,10,1010123456002,74,1,2,8,1,0,2.16,50,158,0.022784,19,0,9.33333,2.56,25,0,0.1,10,0.0,0,8.66313,31,61,200,0,0,0,1.32
32.25,10,1010123456002,74,1,2,8,1,0,18.0,7,0,0.015456,3,0,13.8,0.0,0,0,0.0,0,0.0,0,0.0,0,11,12,0,0,0,0.0
32.5,10,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,12.6667,0.0,0,0,0.0,0,0.0,0,0.0,0,5,8,0,0,0,0.0
32.75,10,1010123456002,74,1,2,8,1,0,0.0,4,0,0.010304,2,0,13.0,0.0,0,0,0.0,0,0.0,0,0.0,0,12,8,0,0,0,0.0
33.0,10,1010123456002,74,1,2,8,1,0,18.0,11,0,0.015456,3,0,13.25,0.0,0,0,0.0,0,0.0,0,0.0,0,18,20,0,0,0,0.0
33.25,10,1010123456002,74,1,2,8,1,0,18.0,11,0,0.020608,4,0,13.5,3.38462,26,0,0.1,11,9.09091,0,6.71519,31,18,16,0,0,0,2.76923
33.5,10,1010123456002,74,1,2,8,1,0,19.4615,13,0,0.036192,7,0,12.0,0.0,0,0,0.0,0,0.0,0,0.0,0,26,18,0,0,0,0.0
